#delay;msgtype;kwargs
0.674000;STATE;{"direction": 0, "name": "REC", "probe": "ROOT", "value": true, "serialpos": 1, "expecting": "CHIEF"}
0.010000;STATE;{"direction": 0, "name": "PROBE", "probe": "ROOT", "value": true, "serialpos": 1, "expecting": "CHIEF"}
4.025000;STATE;{"direction": 0, "name": "PROBE", "probe": "ROOT", "value": false, "serialpos": 1, "expecting": "CHIEF"}
1.000000;STATE;{"direction": 0, "name": "REC", "probe": "ROOT", "value": false, "serialpos": 1, "expecting": "CHIEF"}
0.586000;STATE;{"direction": 0, "name": "REC", "probe": "PEN", "value": true, "serialpos": 2, "expecting": "FENCE"}
0.010000;STATE;{"direction": 0, "name": "PROBE", "probe": "PEN", "value": true, "serialpos": 2, "expecting": "FENCE"}
4.030000;STATE;{"direction": 0, "name": "PROBE", "probe": "PEN", "value": false, "serialpos": 2, "expecting": "FENCE"}
1.000000;STATE;{"direction": 0, "name": "REC", "probe": "PEN", "value": false, "serialpos": 2, "expecting": "FENCE"}
0.628000;STATE;{"direction": 0, "name": "REC", "probe": "SHIRT", "value": true, "serialpos": 5, "expecting": "WOLF"}
0.010000;STATE;{"direction": 0, "name": "PROBE", "probe": "SHIRT", "value": true, "serialpos": 5, "expecting": "WOLF"}
4.040000;STATE;{"direction": 0, "name": "PROBE", "probe": "SHIRT", "value": false, "serialpos": 5, "expecting": "WOLF"}
1.000000;STATE;{"direction": 0, "name": "REC", "probe": "SHIRT", "value": false, "serialpos": 5, "expecting": "WOLF"}
0.682000;STATE;{"direction": 1, "name": "REC", "probe": "BENCH", "value": true, "serialpos": 4, "expecting": "BOAT"}
0.010000;STATE;{"direction": 1, "name": "PROBE", "probe": "BENCH", "value": true, "serialpos": 4, "expecting": "BOAT"}
4.035000;STATE;{"direction": 1, "name": "PROBE", "probe": "BENCH", "value": false, "serialpos": 4, "expecting": "BOAT"}
0.999000;STATE;{"direction": 1, "name": "REC", "probe": "BENCH", "value": false, "serialpos": 4, "expecting": "BOAT"}
0.738000;STATE;{"direction": 1, "name": "REC", "probe": "SHEET", "value": true, "serialpos": 3, "expecting": "SAIL"}
0.010000;STATE;{"direction": 1, "name": "PROBE", "probe": "SHEET", "value": true, "serialpos": 3, "expecting": "SAIL"}
4.031000;STATE;{"direction": 1, "name": "PROBE", "probe": "SHEET", "value": false, "serialpos": 3, "expecting": "SAIL"}
0.999000;STATE;{"direction": 1, "name": "REC", "probe": "SHEET", "value": false, "serialpos": 3, "expecting": "SAIL"}
0.010000;STATE;{"phase_type": "BASELINE", "name": "RETRIEVAL", "value": false}
0.010000;STATE;{"phase_type": "BASELINE", "listno": 1, "name": "TRIAL", "value": false}
0.020000;STATE;{"phase_type": "BASELINE", "listno": 2, "name": "TRIAL", "value": true}
0.010000;TRIAL;{"trial": 2}
0.001089;STATE;{"name": "WAITING", "value": true}
0.645000;STATE;{"name": "WAITING", "value": false}
0.010000;STATE;{"phase_type": "BASELINE", "name": "ENCODING", "value": true}
0.010000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.182000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.537000;STATE;{"name": "STUDY_PAIR", "listno": 2, "cue_pos": "word1", "value": true, "serialpos": 0, "word1": "ARM", "word2": "DUCK", "phase_type": "BASELINE"}
4.030000;STATE;{"name": "STUDY_PAIR", "listno": 2, "cue_pos": "word1", "value": false, "serialpos": 0, "word1": "ARM", "word2": "DUCK", "phase_type": "BASELINE"}
0.010000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.216000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.587000;STATE;{"name": "STUDY_PAIR", "listno": 2, "cue_pos": "word2", "value": true, "serialpos": 1, "word1": "EEL", "word2": "DESK", "phase_type": "BASELINE"}
4.031000;STATE;{"name": "STUDY_PAIR", "listno": 2, "cue_pos": "word2", "value": false, "serialpos": 1, "word1": "EEL", "word2": "DESK", "phase_type": "BASELINE"}
0.010000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.166000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.707000;STATE;{"name": "STUDY_PAIR", "listno": 2, "cue_pos": "word2", "value": true, "serialpos": 2, "word1": "GRASS", "word2": "SNAKE", "phase_type": "BASELINE"}
4.027000;STATE;{"name": "STUDY_PAIR", "listno": 2, "cue_pos": "word2", "value": false, "serialpos": 2, "word1": "GRASS", "word2": "SNAKE", "phase_type": "BASELINE"}
0.010000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.248000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.658000;STATE;{"name": "STUDY_PAIR", "listno": 2, "cue_pos": "word1", "value": true, "serialpos": 3, "word1": "STRAW", "word2": "CAVE", "phase_type": "BASELINE"}
4.026000;STATE;{"name": "STUDY_PAIR", "listno": 2, "cue_pos": "word1", "value": false, "serialpos": 3, "word1": "STRAW", "word2": "CAVE", "phase_type": "BASELINE"}
0.001000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.067000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.618000;STATE;{"name": "STUDY_PAIR", "listno": 2, "cue_pos": "word2", "value": true, "serialpos": 4, "word1": "FOG", "word2": "LAKE", "phase_type": "BASELINE"}
4.032000;STATE;{"name": "STUDY_PAIR", "listno": 2, "cue_pos": "word2", "value": false, "serialpos": 4, "word1": "FOG", "word2": "LAKE", "phase_type": "BASELINE"}
0.010000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.133000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.710000;STATE;{"name": "STUDY_PAIR", "listno": 2, "cue_pos": "word1", "value": true, "serialpos": 5, "word1": "CHAIR", "word2": "STOOL", "phase_type": "BASELINE"}
4.024000;STATE;{"name": "STUDY_PAIR", "listno": 2, "cue_pos": "word1", "value": false, "serialpos": 5, "word1": "CHAIR", "word2": "STOOL", "phase_type": "BASELINE"}
0.001000;STATE;{"phase_type": "BASELINE", "name": "ENCODING", "value": false}
0.010000;STATE;{"phase_type": "BASELINE", "name": "DISTRACT", "value": true}
21.286000;STATE;{"phase_type": "BASELINE", "name": "DISTRACT", "value": false}
0.569000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.115000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.010000;STATE;{"phase_type": "BASELINE", "name": "RETRIEVAL", "value": true}
0.739000;STATE;{"direction": 0, "name": "REC", "probe": "ARM", "value": true, "serialpos": 0, "expecting": "DUCK"}
0.010000;STATE;{"direction": 0, "name": "PROBE", "probe": "ARM", "value": true, "serialpos": 0, "expecting": "DUCK"}
4.026000;STATE;{"direction": 0, "name": "PROBE", "probe": "ARM", "value": false, "serialpos": 0, "expecting": "DUCK"}
1.001000;STATE;{"direction": 0, "name": "REC", "probe": "ARM", "value": false, "serialpos": 0, "expecting": "DUCK"}
0.569000;STATE;{"direction": 1, "name": "REC", "probe": "DESK", "value": true, "serialpos": 1, "expecting": "EEL"}
0.010000;STATE;{"direction": 1, "name": "PROBE", "probe": "DESK", "value": true, "serialpos": 1, "expecting": "EEL"}
4.031000;STATE;{"direction": 1, "name": "PROBE", "probe": "DESK", "value": false, "serialpos": 1, "expecting": "EEL"}
1.000000;STATE;{"direction": 1, "name": "REC", "probe": "DESK", "value": false, "serialpos": 1, "expecting": "EEL"}
0.702000;STATE;{"direction": 1, "name": "REC", "probe": "LAKE", "value": true, "serialpos": 4, "expecting": "FOG"}
0.010000;STATE;{"direction": 1, "name": "PROBE", "probe": "LAKE", "value": true, "serialpos": 4, "expecting": "FOG"}
4.033000;STATE;{"direction": 1, "name": "PROBE", "probe": "LAKE", "value": false, "serialpos": 4, "expecting": "FOG"}
1.000000;STATE;{"direction": 1, "name": "REC", "probe": "LAKE", "value": false, "serialpos": 4, "expecting": "FOG"}
0.593000;STATE;{"direction": 0, "name": "REC", "probe": "CHAIR", "value": true, "serialpos": 5, "expecting": "STOOL"}
0.001000;STATE;{"direction": 0, "name": "PROBE", "probe": "CHAIR", "value": true, "serialpos": 5, "expecting": "STOOL"}
4.038000;STATE;{"direction": 0, "name": "PROBE", "probe": "CHAIR", "value": false, "serialpos": 5, "expecting": "STOOL"}
1.001000;STATE;{"direction": 0, "name": "REC", "probe": "CHAIR", "value": false, "serialpos": 5, "expecting": "STOOL"}
0.565000;STATE;{"direction": 1, "name": "REC", "probe": "SNAKE", "value": true, "serialpos": 2, "expecting": "GRASS"}
0.010000;STATE;{"direction": 1, "name": "PROBE", "probe": "SNAKE", "value": true, "serialpos": 2, "expecting": "GRASS"}
4.037000;STATE;{"direction": 1, "name": "PROBE", "probe": "SNAKE", "value": false, "serialpos": 2, "expecting": "GRASS"}
1.000000;STATE;{"direction": 1, "name": "REC", "probe": "SNAKE", "value": false, "serialpos": 2, "expecting": "GRASS"}
0.565000;STATE;{"direction": 0, "name": "REC", "probe": "STRAW", "value": true, "serialpos": 3, "expecting": "CAVE"}
0.010000;STATE;{"direction": 0, "name": "PROBE", "probe": "STRAW", "value": true, "serialpos": 3, "expecting": "CAVE"}
4.035000;STATE;{"direction": 0, "name": "PROBE", "probe": "STRAW", "value": false, "serialpos": 3, "expecting": "CAVE"}
1.001000;STATE;{"direction": 0, "name": "REC", "probe": "STRAW", "value": false, "serialpos": 3, "expecting": "CAVE"}
0.010000;STATE;{"phase_type": "BASELINE", "name": "RETRIEVAL", "value": false}
0.010000;STATE;{"phase_type": "BASELINE", "listno": 2, "name": "TRIAL", "value": false}
0.019000;STATE;{"phase_type": "BASELINE", "listno": 3, "name": "TRIAL", "value": true}
0.010000;TRIAL;{"trial": 3}
0.001084;STATE;{"name": "WAITING", "value": true}
0.245000;STATE;{"name": "WAITING", "value": false}
0.010000;STATE;{"phase_type": "BASELINE", "name": "ENCODING", "value": true}
0.010000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.082000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.644000;STATE;{"name": "STUDY_PAIR", "listno": 3, "cue_pos": "word2", "value": true, "serialpos": 0, "word1": "BANK", "word2": "CAKE", "phase_type": "BASELINE"}
4.041000;STATE;{"name": "STUDY_PAIR", "listno": 3, "cue_pos": "word2", "value": false, "serialpos": 0, "word1": "BANK", "word2": "CAKE", "phase_type": "BASELINE"}
0.001000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.199000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.662000;STATE;{"name": "STUDY_PAIR", "listno": 3, "cue_pos": "word2", "value": true, "serialpos": 1, "word1": "TEETH", "word2": "FACE", "phase_type": "BASELINE"}
